query,priority
The transport bus schedule has changed without any notice.,High
What is the fee structure for international students?,Medium
What is the renewal process for continuing scholarship?,Medium
I was marked absent in the exam even though I was present.,High
Is direct admission available for lateral entry students?,Medium
The admission portal keeps showing an error when I try to submit my form.,High
Is there a government scholarship tie-up with this university?,Medium
The staff at the admission office was very helpful.,Low
The scholarship portal is not accepting my Aadhaar number.,High
What is the passing criteria for practical exams?,Medium
"There are insects in the mess food, this is unacceptable.",High
What is the process to apply for revaluation?,Medium
What is the monthly hostel fee for postgraduate students?,Medium
The scholarship amount was not credited to my account this semester.,High
Is there a student ombudsman at this university?,Medium
Is there an anonymous complaint submission option?,Medium
Is there a scholarship for differently-abled students?,Medium
The exam schedule was shared well in advance this time.,Low
The staff at the admission office was very helpful.,Low
There is a case of ragging in my hostel block.,High
The mock interviews organised by placement cell were excellent.,Low
The new student portal is very user-friendly.,Low
The placement training sessions were very useful.,Low
The hostel fee receipt has not been generated after payment.,High
Thank you for ensuring a safe environment in the hostel.,Low
The renewal form for scholarship is not available on the portal.,High
What is the income limit for need-based scholarship?,Medium
I appreciate the quick action taken on my grievance.,Low
Is off-campus placement assistance provided?,Medium
The finance staff resolved my billing error quickly.,Low
Is there a grace mark policy in the university?,Medium
How do I file a formal complaint against a faculty member?,Medium
What are the transport routes available for students?,Medium
I was marked absent in the exam even though I was present.,High
The faculty is not conducting classes regularly.,High
The pre-placement talk was cancelled without informing students.,High
Discriminatory remarks were made by a professor in class.,High
Where can I report a case of harassment?,Medium
I received the scholarship amount before the semester began.,Low
How do I download my fee receipt from the portal?,Medium
The orientation program was well-organised.,Low
The transport bus schedule has changed without any notice.,High
The exam schedule was shared well in advance this time.,Low
My grievance has been ignored by the department for 7 weeks.,High
My scholarship application has been pending for 21 months with no update.,High
"My scholarship was approved quickly, I am very grateful.",Low
I missed the registration deadline because no reminder was sent.,High
Can I change my branch after the first year?,Medium
The warden resolved my complaint within 18 hours.,Low
How do I download my admit card from the portal?,Medium
I cannot find any information about the upcoming event.,High
Is there a grace mark policy in the university?,Medium
What is the academic calendar for this year?,Medium
The mock interviews organised by placement cell were excellent.,Low
The faculty is not conducting classes regularly.,High
