question,answer
What is the last date to apply for admission?,The last date for admission applications is published on the official university website and varies by programme. Check the admissions portal for the current cycle deadline.
How do I apply for undergraduate admission?,"Visit the admissions portal, register with your email, fill the application form, upload required documents, and pay the application fee online."
What documents are required for admission?,"You need 10th and 12th mark sheets, transfer certificate, migration certificate, passport-size photos, ID proof, and category certificate if applicable."
Is there a management quota for admission?,"Yes, a certain percentage of seats are available under management quota. Contact the admissions office for current availability and eligibility criteria."
Can I apply for multiple programmes simultaneously?,"Yes, you can apply for up to three programmes in a single application cycle by selecting preferences during form fill-up."
When is the second merit list released?,The second merit list is released approximately 5 to 7 working days after the first list. Check the admissions portal regularly.
What is the process for lateral entry admission?,Lateral entry is available for diploma holders into the second year of engineering programmes. Apply through the lateral entry portal with your diploma mark sheets.
Is there a sports quota for admission?,"Yes, students with state or national level sports achievements may apply under sports quota. Submit relevant certificates to the sports department."
How do I check my admission application status?,Log in to the admissions portal using your application number and date of birth to view your current application status.
What is the minimum percentage required for admission?,"The minimum percentage requirement varies by programme. Generally, 50% in 12th standard is required for most undergraduate programmes."
Can I defer my admission to next year?,"Deferral is not permitted. If you are unable to join, you must re-apply in the next admission cycle."
How do I cancel my admission and get a refund?,Submit a written cancellation request to the admissions office along with your original receipts. Refund is processed as per university refund policy.
What is the NRI admission process?,NRI students should apply through the international admissions portal. Seats are limited and the fee structure differs from regular admissions.
Are there reserved seats for differently-abled students?,"Yes, 5% seats are reserved for differently-abled students as per government norms. Submit a valid disability certificate during application."
How long does document verification take?,Document verification typically takes 3 to 5 working days after submission. You will be notified by email once completed.
What if I have a gap year after 12th?,A gap certificate or affidavit explaining the gap year must be submitted along with your admission documents.
Is there an entrance exam for admission?,Some programmes require clearing the university entrance exam. Refer to the programme-specific admission criteria on the website.
How do I get an admission confirmation letter?,"After completing fee payment and document verification, the admission confirmation letter is available for download on the portal."
Can I change my programme after admission?,"Branch change requests may be submitted after the first semester results, subject to seat availability and CGPA criteria."
What is the tuition fee for BTech first year?,The fee structure is published annually on the university website. Contact the finance department for the latest fee details.
Is there any relaxation in marks for SC/ST students?,"Yes, a 5% relaxation in minimum qualifying marks is provided for SC/ST students as per government reservation policy."
When does the new academic session start?,The new academic session typically begins in July or August. The exact date is published in the academic calendar.
How do I get a bonafide certificate after admission?,Submit a bonafide certificate application at the administrative office or apply online through the student portal.
