query,sentiment
The exam schedule was shared well in advance this time.,Positive
Is there an EMI option available for fee payment?,Neutral
The library is closed during exam preparation time.,Negative
My admit card has not been generated even though exams start tomorrow.,Negative
The scholarship amount was not credited to my account this semester.,Negative
I appreciate the quick action taken on my grievance.,Positive
What is the process for NRI admission?,Neutral
Is there any concession for single-parent students?,Neutral
The placement cell has not updated the company list for this year.,Negative
The scholarship portal is not accepting my Aadhaar number.,Negative
The revaluation process was handled efficiently.,Positive
"Result was declared faster than expected, appreciated.",Positive
I was charged late fee even though I paid before the deadline.,Negative
Are there any internship opportunities through the placement cell?,Neutral
The hostel fee receipt has not been generated after payment.,Negative
The admission process was smooth and well-organised this year.,Positive
The hostel gate is being closed before the permitted time.,Negative
The merit scholarship process was transparent and fair.,Positive
The revaluation process was handled efficiently.,Positive
"Thank you, my admission documents were verified quickly.",Positive
The pre-placement talk was cancelled without informing students.,Negative
I appreciate the quick action taken on my grievance.,Positive
How can I get a duplicate fee receipt?,Neutral
Is there a government scholarship tie-up with this university?,Neutral
My grievance has been ignored by the department for 5 weeks.,Negative
I got my corrected mark sheet within 28 days.,Positive
My fee refund has not been processed even after 29 months.,Negative
The admission portal keeps showing an error when I try to submit my form.,Negative
How do I download my fee receipt from the portal?,Neutral
What is the process to apply for hostel accommodation?,Neutral
What is the monthly hostel fee for postgraduate students?,Neutral
How is the scholarship amount disbursed?,Neutral
I received my offer letter within 28 days of the interview.,Positive
I appreciate the timely maintenance work done in my room.,Positive
The orientation program was well-organised.,Positive
My seat allotment was updated within 24 hours as promised.,Positive
Can I pay the fee in installments?,Neutral
I received my offer letter within 5 days of the interview.,Positive
How do I file a formal complaint against a faculty member?,Neutral
The hostel room was clean and well-maintained on arrival.,Positive
How many attempts are allowed for a backlog paper?,Neutral
Is there a grace mark policy in the university?,Neutral
The placement cell has not updated the company list for this year.,Negative
Can I appear in exam if attendance is below 75 percent?,Neutral
The admission process was smooth and well-organised this year.,Positive
A faculty member is giving biased marks to certain students.,Negative
I missed the registration deadline because no reminder was sent.,Negative
