query,intent,department,priority,sentiment
My email ID was not created even after 5 weeks of registration.,General,Help Desk,Medium,Negative
Admission office is not responding to my emails for 3 days.,Admission,Admission Department,High,Negative
I was wrongly penalised for something I did not do.,Complaint,Student Affairs,High,Negative
The placement training sessions were very useful.,Placement,Placement Cell,Low,Positive
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
I was charged late fee even though I paid before the deadline.,Finance,Finance Department,High,Negative
The admission portal keeps showing an error when I try to submit my form.,Admission,Admission Department,High,Negative
I submitted all documents but my admission status still shows incomplete.,Admission,Admission Department,High,Negative
My fee refund has not been processed even after 7 months.,Finance,Finance Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
Can I escalate my complaint if it is not resolved?,Complaint,Student Affairs,Medium,Neutral
My roommate is causing disturbance but the warden is not taking action.,Hostel,Hostel Department,Medium,Negative
Hostel Wi-Fi speed has improved a lot recently.,Hostel,Hostel Department,Medium,Positive
The scholarship amount was not credited to my account this semester.,Scholarship,Scholarship Cell,High,Negative
Wrong fee head was applied to my account causing confusion.,Finance,Finance Department,High,Negative
The admission process was smooth and well-organised this year.,Admission,Admission Department,Medium,Positive
What is the process to apply for revaluation?,Examination,Examination Department,Medium,Neutral
Thank you for ensuring a safe environment in the hostel.,Complaint,Student Affairs,Low,Positive
What is the process for obtaining a migration certificate?,General,Help Desk,Low,Neutral
The scholarship portal is not accepting my Aadhaar number.,Scholarship,Scholarship Cell,High,Negative
I have been charged hostel fee even though I am a day scholar.,Finance,Finance Department,Medium,Negative
The mess menu has improved significantly this month.,Hostel,Hostel Department,Low,Positive
What scholarships are available for meritorious students?,Scholarship,Scholarship Cell,Medium,Neutral
My email ID was not created even after 25 weeks of registration.,General,Help Desk,High,Negative
My resume was not shortlisted without any feedback.,Placement,Placement Cell,High,Negative
How do I apply for a bonafide certificate?,General,Help Desk,Medium,Neutral
What clubs and societies are active this semester?,General,Help Desk,Low,Neutral
Wrong category was assigned to me during the admission process.,Admission,Admission Department,Medium,Negative
I was not allowed into the exam hall due to a portal error.,Examination,Examination Department,High,Negative
The transport bus schedule has changed without any notice.,General,Help Desk,High,Negative
What is the process to apply for revaluation?,Examination,Examination Department,Low,Neutral
I was asked to submit documents twice but still no confirmation.,Admission,Admission Department,Medium,Negative
The faculty is not conducting classes regularly.,Complaint,Student Affairs,High,Negative
My fee refund has not been processed even after 13 months.,Finance,Finance Department,High,Negative
I have not received my offer letter even after 25 months of selection.,Placement,Placement Cell,High,Negative
The placement cell has not updated the company list for this year.,Placement,Placement Cell,High,Negative
The campus facilities have improved a lot this year.,General,Help Desk,Low,Positive
The warden resolved my complaint within 15 hours.,Hostel,Hostel Department,Low,Positive
There is a spelling mistake in my name on the hall ticket.,Examination,Examination Department,High,Negative
What is the last date for fee payment this semester?,Finance,Finance Department,Low,Neutral
The anti-ragging committee is not accessible to students.,Complaint,Student Affairs,High,Negative
I submitted all documents but my application still shows incomplete.,Scholarship,Scholarship Cell,High,Negative
