query,intent
I missed the counselling round due to no notification from the portal.,Admission
The finance department is not responding to my refund request.,Finance
Wrong fee head was applied to my account causing confusion.,Finance
I appreciate the timely maintenance work done in my room.,Hostel
I have not received any communication regarding my scholarship status.,Scholarship
The common bathroom tiles are broken and pose a safety risk.,Hostel
Staff at the help desk were very cooperative.,General
The fee portal worked smoothly and I received the receipt instantly.,Finance
What is the minimum CGPA required for placement registration?,Placement
The admission portal keeps showing an error when I try to submit my form.,Admission
What is the process to apply for revaluation?,Examination
The scholarship cell staff helped me complete my application.,Scholarship
Is there a grace mark policy in the university?,Examination
The hostel gate is being closed before the permitted time.,Hostel
How many attempts are allowed for a backlog paper?,Examination
The finance staff resolved my billing error quickly.,Finance
I was threatened by a classmate and reported it but nothing happened.,Complaint
What are the hostel rules for late-night entry?,Hostel
"I got placed in a good company, thank you to the placement cell.",Placement
"There are insects in the mess food, this is unacceptable.",Hostel
When is the scholarship application portal open?,Scholarship
The examination fee was deducted but the form was not submitted.,Examination
The revaluation process was handled efficiently.,Examination
What are the accepted modes of fee payment?,Finance
I appreciate the extended fee deadline during exam time.,Finance
I was marked absent in the exam even though I was present.,Examination
Hostel Wi-Fi speed has improved a lot recently.,Hostel
Revaluation result is pending for over 13 months.,Examination
I was not allowed into the exam hall due to a portal error.,Examination
"My refund was processed within 10 working days, thank you.",Finance
Is there an anonymous complaint submission option?,Complaint
How do I apply for a room change?,Hostel
The challan generated has incorrect details.,Finance
What is the anti-ragging policy of the university?,Complaint
When will the second merit list be published?,Admission
Where is the medical centre located on campus?,General
"My refund was processed within 24 working days, thank you.",Finance
I was not notified about the campus drive that happened yesterday.,Placement
The hostel room was clean and well-maintained on arrival.,Hostel
How many seats are available in the Computer Science branch?,Admission
What are the accepted modes of fee payment?,Finance
The company I was placed in has deferred joining by 21 months.,Placement
My fee refund has not been processed even after 9 months.,Finance
How do I apply for a bonafide certificate?,General
Can final year students from all branches register?,Placement
Where can I report a case of harassment?,Complaint
"Result was declared faster than expected, appreciated.",Examination
My scholarship was cancelled despite fulfilling all criteria.,Scholarship
My scholarship application has been pending for 30 months with no update.,Scholarship
I cannot find any information about the upcoming event.,General
Admission office is not responding to my emails for 29 days.,Admission
"Thank you, my admission documents were verified quickly.",Admission
The company I was placed in has deferred joining by 27 months.,Placement
"My admit card was generated on time, thank you.",Examination
The mock interviews organised by placement cell were excellent.,Placement
The help desk is not responding to my queries.,General
I appreciate the extended fee deadline during exam time.,Finance
The challan generated has incorrect details.,Finance
There is a case of ragging in my hostel block.,Complaint
The help desk is not responding to my queries.,General
The practical exam was scheduled without any prior intimation.,Examination
Is direct admission available for lateral entry students?,Admission
My result shows fail but I had submitted all answers correctly.,Examination
When is the scholarship application portal open?,Scholarship
The finance staff resolved my billing error quickly.,Finance
The exam timetable was changed without prior notice.,Examination
The online payment system is very convenient.,Finance
"My refund was processed within 2 working days, thank you.",Finance
The placement portal login is not working for me.,Placement
My roommate is causing disturbance but the warden is not taking action.,Hostel
My resume was not shortlisted without any feedback.,Placement
Is there a government scholarship tie-up with this university?,Scholarship
Wrong fee head was applied to my account causing confusion.,Finance
The orientation program was well-organised.,General
The scholarship amount was not credited to my account this semester.,Scholarship
The library is closed during exam preparation time.,General
I received my offer letter within 7 days of the interview.,Placement
Is off-campus placement assistance provided?,Placement
What are the hostel rules for late-night entry?,Hostel
The online payment system is very convenient.,Finance
The merit scholarship process was transparent and fair.,Scholarship
My scholarship application has been pending for 6 months with no update.,Scholarship
Admission office is not responding to my emails for 24 days.,Admission
I am being harassed by a senior student and no action is being taken.,Complaint
What is the anti-ragging policy of the university?,Complaint
My application was rejected without any reason given.,Admission
Is there any concession for single-parent students?,Finance
Is there a student ombudsman at this university?,Complaint
How do I download my fee receipt from the portal?,Finance
The transport bus schedule has changed without any notice.,General
The placement training sessions were very useful.,Placement
The staff at the admission office was very helpful.,Admission
My profile on the placement portal shows incorrect CGPA.,Placement
There is a spelling mistake in my name on the hall ticket.,Examination
The merit scholarship process was transparent and fair.,Scholarship
"I got placed in a good company, thank you to the placement cell.",Placement
What is the renewal process for continuing scholarship?,Scholarship
"My scholarship was approved quickly, I am very grateful.",Scholarship
I was asked to pay the fee again even after showing the receipt.,Finance
